Display Name,Resource Type,OCID,Compartment,Region,Lifecycle State,Time Created (UTC),Freeform Tags,Defined Tags
ip,Public IPs,ocid1.publicip.oc1.sa-saopaulo-1.amaaaaaalffnwjqaovaeb6hh6v5p57isv27gkxl3jzjzq7dfjqknm3flgiha,c,Brazil East (Sao Paulo),Available,"Mon, 29 Jun 2026 09:05:02 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T09:05:02.081Z
c,Compartments,ocid1.compartment.oc1..aaaaaaaa6sgun2weabuzsilkcnksxycygqkkpgioyokxbc56je6nj3nv6rdq,leonardotaschetto (root),All,Active,"Mon, 29 Jun 2026 08:21:46 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T08:21:46.024Z
nt2,Subnets,ocid1.subnet.oc1.sa-saopaulo-1.aaaaaaaal52mrt5p65x76jmfxen7jxxnjobzcc4z4yxnli2gy6nlm7xfylhq,c,Brazil East (Sao Paulo),Available,"Mon, 29 Jun 2026 08:18:27 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T08:18:27.036Z
vol,Block Volumes,ocid1.volume.oc1.sa-saopaulo-1.abtxeljr45vfg2cv6anyyu4e6xu3zpcxwkfkp5s3rbachklk5ziipny3skoa,leonardotaschetto (root),Brazil East (Sao Paulo),Available,"Mon, 29 Jun 2026 06:34:15 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T06:34:15.495Z
nt.k8s.oraclevcn.com,Zones,ocid1.dns-zone.oc1.sa-saopaulo-1.aaaaaaaazfgtyzysys6nxysxw5n3zsaw45upigyoyt4fr74rdowjdgqfxewa,leonardotaschetto (root),Brazil East (Sao Paulo),Active,"Mon, 29 Jun 2026 05:41:58 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T05:41:56.918Z
nt,Subnets,ocid1.subnet.oc1.sa-saopaulo-1.aaaaaaaaxhlkf5oyp52v57hk4gkojgky27et3xeasiej3akdnhfzkcxb4aba,leonardotaschetto (root),Brazil East (Sao Paulo),Available,"Mon, 29 Jun 2026 05:41:56 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T05:41:56.918Z
11.21.172.in-addr.arpa,Zones,ocid1.dns-zone.oc1.sa-saopaulo-1.aaaaaaaatbdonqgv4qrs3oghtucs2bnrb6sieafkeiy5v4hbiguuwhd644qa,c,Brazil East (Sao Paulo),Active,"Mon, 29 Jun 2026 05:32:05 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T05:32:03.138Z
10.21.172.in-addr.arpa,Zones,ocid1.dns-zone.oc1.sa-saopaulo-1.aaaaaaaah736powhbkprqhibqbu3wpofeact6r3djwf7wrfz4iq4helr4vua,c,Brazil East (Sao Paulo),Active,"Mon, 29 Jun 2026 05:32:05 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T05:32:03.138Z
ocinet,Private Resolvers,ocid1.dnsresolver.oc1.sa-saopaulo-1.amaaaaaalffnwjqas2q3f6xycpitg5ashaepx2f7vkppq6opk4miepp5se5a,leonardotaschetto (root),Brazil East (Sao Paulo),Active,"Mon, 29 Jun 2026 05:32:05 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T05:32:03.138Z
ocinet,Private Views,ocid1.dnsview.oc1.sa-saopaulo-1.aaaaaaaaqfxbyozl6lwkctnfria4a2iue4es3pe2r7odqet636rfet3tz2bq,leonardotaschetto (root),Brazil East (Sao Paulo),Active,"Mon, 29 Jun 2026 05:32:05 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T05:32:03.138Z
Default DHCP Options for ocinet,DHCP Options,ocid1.dhcpoptions.oc1.sa-saopaulo-1.aaaaaaaaeo5564ai7ibudo7yr2rbkjycoxe7qvkgzow5iexrfvs3gqbsvtoq,leonardotaschetto (root),Brazil East (Sao Paulo),Available,"Mon, 29 Jun 2026 05:32:03 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T05:32:03.138Z
Default Route Table for ocinet,Route Tables,ocid1.routetable.oc1.sa-saopaulo-1.aaaaaaaakzm7gko7p3n7j2fnjdkrtolzq2mjregd5aue6abgvj7xrvmgxs2q,c,Brazil East (Sao Paulo),Available,"Mon, 29 Jun 2026 05:32:03 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T05:32:03.138Z
Default Security List for ocinet,Security Lists,ocid1.securitylist.oc1.sa-saopaulo-1.aaaaaaaajin6fnnrsiq3q624vlfbwmgztgapfjjeywbvgdpawn5hvxqylaba,c,Brazil East (Sao Paulo),Available,"Mon, 29 Jun 2026 05:32:03 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T05:32:03.138Z
ocinet,Virtual Cloud Networks,ocid1.vcn.oc1.sa-saopaulo-1.amaaaaaalffnwjqabyncbk76fjutwpjdfhxv3yeqpl3vaqdn6jbbfwo2wl7a,c,Brazil East (Sao Paulo),Available,"Mon, 29 Jun 2026 05:32:03 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T05:32:03.138Z
createdon,Tag Defaults,ocid1.tagdefault.oc1..aaaaaaaan6ngiokpewbiny6q25cgkvffr6ycufdtfvqzs7q2xboifk3sz2pa,leonardotaschetto (root),All,,"Wed, 24 Jun 2026 21:19:37 GMT",-,-
createdby,Tag Defaults,ocid1.tagdefault.oc1..aaaaaaaajbgjsym6xh3v67in5ylrbvi5rejnovjxifx3mnahaib4bhcktecq,leonardotaschetto (root),All,,"Wed, 24 Jun 2026 21:19:37 GMT",-,-
Oracle-Tags,Tag Namespaces,ocid1.tagnamespace.oc1..aaaaaaaaffq2pebymwiijl2h7hztqij3ykpdeufsq3bxoa6a7gw5bqfqcguq,leonardotaschetto (root),All,Created,"Wed, 24 Jun 2026 21:19:37 GMT",-,-
Tenant Admin Policy,Policies,ocid1.policy.oc1..aaaaaaaakgc4jliuc6qyvs6gegunt7cgwym67gjawjv24n52li3zxx7hfwbq,leonardotaschetto (root),All,Active,"Wed, 24 Jun 2026 21:19:26 GMT",-,-
IAM DataSafe,App,ocid1.domainapp.oc1.sa-saopaulo-1.amaaaaaan4ku7aqagw3r2pnknilcwje2jl7tjv54dy5igd6udnevtrmldinq,leonardotaschetto (root),Brazil East (Sao Paulo),,"Wed, 24 Jun 2026 21:17:43 GMT",-,-
OCI Console,App,ocid1.domainapp.oc1.sa-saopaulo-1.amaaaaaan4ku7aqawejyh6rbdvjyqmclw4on3ygztd63jqd6shugzxkgy2pa,leonardotaschetto (root),Brazil East (Sao Paulo),,"Wed, 24 Jun 2026 21:17:43 GMT",-,-
All Domain Users,Groups,ocid1.group.oc1..aaaaaaaajh5yggh5rvk7eerzqjjkn7u3y7j63ovs3vabrkccn2tsbnqynmtq,leonardotaschetto (root),All,,"Wed, 24 Jun 2026 21:17:41 GMT",-,-
IAM LoginClient,App,ocid1.domainapp.oc1.sa-saopaulo-1.amaaaaaan4ku7aqafatlyryih7xdo7ay6qyz34hx7mwbkalfq7j6o46ovppa,leonardotaschetto (root),Brazil East (Sao Paulo),,"Wed, 24 Jun 2026 21:17:40 GMT",-,-
leonardotaschetto@gmail.com,Users,ocid1.user.oc1..aaaaaaaaz2t2q4ndg3ba4bew4qyrhb7h6w3axuwnxzljlisk5zjgldwpsxia,leonardotaschetto (root),All,,"Wed, 24 Jun 2026 21:17:39 GMT",-,-
IDCS Application,App,ocid1.domainapp.oc1.sa-saopaulo-1.amaaaaaan4ku7aqaem6hppeapyk5jijo6qm2t6zxuzaaoopa7v3aoconzjdq,leonardotaschetto (root),Brazil East (Sao Paulo),,"Wed, 24 Jun 2026 21:17:39 GMT",-,-
